date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:18:53	295/295	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2005%20Mar%202026%2010:18:53%20GMT	http://localhost/robots.txt		(from )
11:18:53	10860/10860	---MC-	200	added ('OK')	text/html	date:Thu,%2005%20Mar%202026%2010:18:53%20GMT	http://localhost/PROJET-SOCIETE/index.php	C:/My%20Web%20Sites/DDD/localhost/PROJET-SOCIETE/index.html	(from )
11:18:54	688/688	---M--	200	added ('OK')	text/css	etag:%222b0-64c3b31da1ec0%22	http://localhost/PROJET-SOCIETE/assets/css/main.css	C:/My%20Web%20Sites/DDD/localhost/PROJET-SOCIETE/assets/css/main.css	(from http://localhost/PROJET-SOCIETE/index.php)
11:18:54	102526/102526	---M-Z	200	added ('OK')	text/css	etag:%22656632a7-54f3%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/6.5.0/css/all.min.css	C:/My%20Web%20Sites/DDD/cdnjs.cloudflare.com/ajax/libs/font-awesome/6.5.0/css/all.min.css	(from http://localhost/PROJET-SOCIETE/index.php)
11:18:56	13971/13971	---MC-	200	added ('OK')	text/html	date:Thu,%2005%20Mar%202026%2010:18:54%20GMT	http://localhost/PROJET-SOCIETE/pages/about.php	C:/My%20Web%20Sites/DDD/localhost/PROJET-SOCIETE/pages/about.html	(from http://localhost/PROJET-SOCIETE/index.php)
11:18:56	9697/9697	---MC-	200	added ('OK')	text/html	date:Thu,%2005%20Mar%202026%2010:18:55%20GMT	http://localhost/PROJET-SOCIETE/pages/events.php	C:/My%20Web%20Sites/DDD/localhost/PROJET-SOCIETE/pages/events.html	(from http://localhost/PROJET-SOCIETE/index.php)
11:18:56	7834/7834	---M--	200	added ('OK')	text/html	date:Thu,%2005%20Mar%202026%2010:18:56%20GMT	http://localhost/PROJET-SOCIETE/contact.php	C:/My%20Web%20Sites/DDD/localhost/PROJET-SOCIETE/contact.html	(from http://localhost/PROJET-SOCIETE/index.php)
11:18:57	13171/13171	---MC-	200	added ('OK')	text/html	date:Thu,%2005%20Mar%202026%2010:18:56%20GMT	http://localhost/PROJET-SOCIETE/pages/archives.php	C:/My%20Web%20Sites/DDD/localhost/PROJET-SOCIETE/pages/archives.html	(from http://localhost/PROJET-SOCIETE/index.php)
11:18:59	16166/16166	---M--	200	added ('OK')	image/png	etag:%223f26-64c1deb5e40f1%22	http://localhost/PROJET-SOCIETE/assets/img/logo.png	C:/My%20Web%20Sites/DDD/localhost/PROJET-SOCIETE/assets/img/logo.png	(from http://localhost/PROJET-SOCIETE/index.php)
11:19:19	126917/126917	---M--	200	added ('OK')	image/jpeg	etag:%221efc5-64c3037817de1%22	http://localhost/PROJET-SOCIETE/assets/img/hp4.jpeg	C:/My%20Web%20Sites/DDD/localhost/PROJET-SOCIETE/assets/img/hp4.jpg	(from http://localhost/PROJET-SOCIETE/index.php)
11:19:20	295/295	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2005%20Mar%202026%2010:19:20%20GMT	http://localhost/PROJET-SOCIETE/pages/interviews.php	C:/My%20Web%20Sites/DDD/localhost/PROJET-SOCIETE/pages/interviews.c.delayed	(from http://localhost/PROJET-SOCIETE/index.php)
11:19:20	295/295	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2005%20Mar%202026%2010:19:20%20GMT	http://localhost/PROJET-SOCIETE/pages/podcast.php	C:/My%20Web%20Sites/DDD/localhost/PROJET-SOCIETE/pages/podcast.php	(from http://localhost/PROJET-SOCIETE/index.php)
11:19:20	295/295	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2005%20Mar%202026%2010:19:20%20GMT	http://localhost/PROJET-SOCIETE/pages/past-editions.php	C:/My%20Web%20Sites/DDD/localhost/PROJET-SOCIETE/pages/past-editions.php	(from http://localhost/PROJET-SOCIETE/index.php)
11:19:20	295/295	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2005%20Mar%202026%2010:19:20%20GMT	http://localhost/PROJET-SOCIETE/pages/open-call.php	C:/My%20Web%20Sites/DDD/localhost/PROJET-SOCIETE/pages/open-call.php	(from http://localhost/PROJET-SOCIETE/index.php)
11:19:21	149148/149148	---M--	200	added ('OK')	image/jpeg	etag:%222469c-64c302f612d1c%22	http://localhost/PROJET-SOCIETE/assets/img/hp2.jpeg	C:/My%20Web%20Sites/DDD/localhost/PROJET-SOCIETE/assets/img/hp2.jpg	(from http://localhost/PROJET-SOCIETE/index.php)
11:19:21	977/977	---M--	200	added ('OK')	text/css	etag:%223d1-64c3b317c8914%22	http://localhost/PROJET-SOCIETE/assets/css/variables.css	C:/My%20Web%20Sites/DDD/localhost/PROJET-SOCIETE/assets/css/variables.css	(from http://localhost/PROJET-SOCIETE/assets/css/main.css)
11:19:21	3738/3738	---M--	200	added ('OK')	text/javascript	etag:%22e9a-64c3b6cfe2237%22	http://localhost/PROJET-SOCIETE/assets/js/main.js	C:/My%20Web%20Sites/DDD/localhost/PROJET-SOCIETE/assets/js/main.js	(from http://localhost/PROJET-SOCIETE/index.php)
11:19:21	8246/8246	---M--	200	added ('OK')	text/css	etag:%222036-64c3b3264802d%22	http://localhost/PROJET-SOCIETE/assets/css/layout.css	C:/My%20Web%20Sites/DDD/localhost/PROJET-SOCIETE/assets/css/layout.css	(from http://localhost/PROJET-SOCIETE/assets/css/main.css)
11:19:22	9898/9898	---M--	200	added ('OK')	text/css	etag:%2226aa-64c3b3840b9e9%22	http://localhost/PROJET-SOCIETE/assets/css/home.css	C:/My%20Web%20Sites/DDD/localhost/PROJET-SOCIETE/assets/css/home.css	(from http://localhost/PROJET-SOCIETE/assets/css/main.css)
11:19:22	4546/4546	---M--	200	added ('OK')	text/css	etag:%2211c2-64c416ac93b36%22	http://localhost/PROJET-SOCIETE/assets/css/contact.css	C:/My%20Web%20Sites/DDD/localhost/PROJET-SOCIETE/assets/css/contact.css	(from http://localhost/PROJET-SOCIETE/assets/css/main.css)
11:19:22	7349/7349	---M--	200	added ('OK')	text/css	etag:%221cb5-64c4135928869%22	http://localhost/PROJET-SOCIETE/assets/css/a-propos.css	C:/My%20Web%20Sites/DDD/localhost/PROJET-SOCIETE/assets/css/a-propos.css	(from http://localhost/PROJET-SOCIETE/assets/css/main.css)
11:19:23	7022/7022	---M--	200	added ('OK')	text/css	etag:%221b6e-64c4213bf5674%22	http://localhost/PROJET-SOCIETE/assets/css/events.css	C:/My%20Web%20Sites/DDD/localhost/PROJET-SOCIETE/assets/css/events.css	(from http://localhost/PROJET-SOCIETE/assets/css/main.css)
11:19:23	6480/6480	---M--	200	added ('OK')	text/css	etag:%221950-64c3b3899d679%22	http://localhost/PROJET-SOCIETE/assets/css/archives.css	C:/My%20Web%20Sites/DDD/localhost/PROJET-SOCIETE/assets/css/archives.css	(from http://localhost/PROJET-SOCIETE/assets/css/main.css)
11:19:29	33024/33024	---M--	200	added ('OK')	font/otf	etag:%228100-5010c9df70440%22	http://localhost/PROJET-SOCIETE/assets/fonts/Aileron-Regular.otf	C:/My%20Web%20Sites/DDD/localhost/PROJET-SOCIETE/assets/fonts/Aileron-Regular.otf	(from http://localhost/PROJET-SOCIETE/assets/css/main.css)
11:19:41	109044/109044	---M--	200	added ('OK')	font/ttf	etag:%221a9f4-63e523afa8180%22	http://localhost/PROJET-SOCIETE/assets/fonts/HomemadeApple-Regular.ttf	C:/My%20Web%20Sites/DDD/localhost/PROJET-SOCIETE/assets/fonts/HomemadeApple-Regular.ttf	(from http://localhost/PROJET-SOCIETE/assets/css/main.css)
11:19:49	121053/121053	---M--	200	added ('OK')	image/png	etag:%221d8dd-64c3b17a888bd%22	http://localhost/PROJET-SOCIETE/assets/img/M_letter.png	C:/My%20Web%20Sites/DDD/localhost/PROJET-SOCIETE/assets/img/M_letter.png	(from http://localhost/PROJET-SOCIETE/pages/about.php)
11:20:02	399282/399282	---M--	200	added ('OK')	image/jpeg	etag:%22617b2-64c3022a4e98c%22	http://localhost/PROJET-SOCIETE/assets/img/hp1.jpeg	C:/My%20Web%20Sites/DDD/localhost/PROJET-SOCIETE/assets/img/hp1.jpg	(from http://localhost/PROJET-SOCIETE/index.php)
11:20:26	274893/274893	---M--	200	added ('OK')	image/jpeg	etag:%22431cd-64c32a44490ad%22	http://localhost/PROJET-SOCIETE/assets/img/about.jpeg	C:/My%20Web%20Sites/DDD/localhost/PROJET-SOCIETE/assets/img/about.jpg	(from http://localhost/PROJET-SOCIETE/pages/about.php)
11:20:27	550058/550058	---M--	200	added ('OK')	image/jpeg	etag:%22864aa-64c30338fd474%22	http://localhost/PROJET-SOCIETE/assets/img/hp3.jpeg	C:/My%20Web%20Sites/DDD/localhost/PROJET-SOCIETE/assets/img/hp3.jpg	(from http://localhost/PROJET-SOCIETE/index.php)
11:21:13	520516/520516	---M--	200	added ('OK')	image/png	etag:%227f144-64c2fe55523c0%22	http://localhost/PROJET-SOCIETE/assets/img/a1.png	C:/My%20Web%20Sites/DDD/localhost/PROJET-SOCIETE/assets/img/a1.png	(from http://localhost/PROJET-SOCIETE/pages/about.php)
11:21:20	326727/326727	---M--	200	added ('OK')	image/png	etag:%224fc47-64c2fdbf98280%22	http://localhost/PROJET-SOCIETE/assets/img/a4.png	C:/My%20Web%20Sites/DDD/localhost/PROJET-SOCIETE/assets/img/a4.png	(from http://localhost/PROJET-SOCIETE/pages/about.php)
11:21:20	335829/335829	---M--	200	added ('OK')	image/png	etag:%2251fd5-64c2fe025a000%22	http://localhost/PROJET-SOCIETE/assets/img/a3.png	C:/My%20Web%20Sites/DDD/localhost/PROJET-SOCIETE/assets/img/a3.png	(from http://localhost/PROJET-SOCIETE/pages/about.php)
11:21:39	597129/597129	---M--	200	added ('OK')	image/png	etag:%2291c89-64c2fcd038dc0%22	http://localhost/PROJET-SOCIETE/assets/img/a2.png	C:/My%20Web%20Sites/DDD/localhost/PROJET-SOCIETE/assets/img/a2.png	(from http://localhost/PROJET-SOCIETE/pages/about.php)
11:21:55	103573/103573	---M--	200	added ('OK')	image/jpeg	etag:%2219495-64c3432d1c303%22	http://localhost/PROJET-SOCIETE/assets/img/a8.jpeg	C:/My%20Web%20Sites/DDD/localhost/PROJET-SOCIETE/assets/img/a8.jpg	(from http://localhost/PROJET-SOCIETE/pages/about.php)
11:22:03	43057/43057	---M--	200	added ('OK')	image/jpeg	etag:%22a831-64c3433e17a03%22	http://localhost/PROJET-SOCIETE/assets/img/a9.jpeg	C:/My%20Web%20Sites/DDD/localhost/PROJET-SOCIETE/assets/img/a9.jpg	(from http://localhost/PROJET-SOCIETE/pages/about.php)
11:22:08	294659/294659	---M--	200	added ('OK')	image/png	etag:%2247f03-64c2fd2ea2c80%22	http://localhost/PROJET-SOCIETE/assets/img/a6.png	C:/My%20Web%20Sites/DDD/localhost/PROJET-SOCIETE/assets/img/a6.png	(from http://localhost/PROJET-SOCIETE/pages/about.php)
11:22:10	43545/43545	---M--	200	added ('OK')	image/jpeg	etag:%22aa19-64c3434d71da0%22	http://localhost/PROJET-SOCIETE/assets/img/a10.jpeg	C:/My%20Web%20Sites/DDD/localhost/PROJET-SOCIETE/assets/img/a10.jpg	(from http://localhost/PROJET-SOCIETE/pages/about.php)
11:22:19	361645/361645	---M--	200	added ('OK')	image/png	etag:%22584ad-64c2fd83834c0%22	http://localhost/PROJET-SOCIETE/assets/img/a7.png	C:/My%20Web%20Sites/DDD/localhost/PROJET-SOCIETE/assets/img/a7.png	(from http://localhost/PROJET-SOCIETE/pages/about.php)
11:22:50	602101/602101	---M--	200	added ('OK')	image/png	etag:%2292ff5-64c2fcefb1800%22	http://localhost/PROJET-SOCIETE/assets/img/a5.png	C:/My%20Web%20Sites/DDD/localhost/PROJET-SOCIETE/assets/img/a5.png	(from http://localhost/PROJET-SOCIETE/pages/about.php)
11:23:09	364083/364083	---M--	200	added ('OK')	image/png	etag:%2258e33-64c3003504f80%22	http://localhost/PROJET-SOCIETE/assets/img/e3.png	C:/My%20Web%20Sites/DDD/localhost/PROJET-SOCIETE/assets/img/e3.png	(from http://localhost/PROJET-SOCIETE/pages/events.php)
11:23:11	319171/319171	---M--	200	added ('OK')	image/png	etag:%224dec3-64c2ffcd11a40%22	http://localhost/PROJET-SOCIETE/assets/img/e4.png	C:/My%20Web%20Sites/DDD/localhost/PROJET-SOCIETE/assets/img/e4.png	(from http://localhost/PROJET-SOCIETE/pages/events.php)
11:23:17	46515/46515	---M--	200	added ('OK')	image/jpeg	etag:%22b5b3-64c3655a7fe6c%22	http://localhost/PROJET-SOCIETE/assets/img/e2.jpeg	C:/My%20Web%20Sites/DDD/localhost/PROJET-SOCIETE/assets/img/e2.jpg	(from http://localhost/PROJET-SOCIETE/pages/events.php)
11:23:51	206894/206894	---M--	200	added ('OK')	image/jpeg	etag:%223282e-64c377a514ba4%22	http://localhost/PROJET-SOCIETE/assets/img/ar1.jpeg	C:/My%20Web%20Sites/DDD/localhost/PROJET-SOCIETE/assets/img/ar1.jpg	(from http://localhost/PROJET-SOCIETE/pages/archives.php)
11:23:54	395737/395737	---M--	200	added ('OK')	image/png	etag:%22609d9-64c301f53f100%22	http://localhost/PROJET-SOCIETE/assets/img/e5.png	C:/My%20Web%20Sites/DDD/localhost/PROJET-SOCIETE/assets/img/e5.png	(from http://localhost/PROJET-SOCIETE/pages/events.php)
11:23:59	29218/29218	---M--	200	added ('OK')	image/jpeg	etag:%227222-64c378ff9454f%22	http://localhost/PROJET-SOCIETE/assets/img/ar3.jpeg	C:/My%20Web%20Sites/DDD/localhost/PROJET-SOCIETE/assets/img/ar3.jpg	(from http://localhost/PROJET-SOCIETE/pages/archives.php)
11:24:08	49895/49895	---M--	200	added ('OK')	image/jpeg	etag:%22c2e7-64c3791fc6a8e%22	http://localhost/PROJET-SOCIETE/assets/img/ar4.jpeg	C:/My%20Web%20Sites/DDD/localhost/PROJET-SOCIETE/assets/img/ar4.jpg	(from http://localhost/PROJET-SOCIETE/pages/archives.php)
11:24:14	37765/37765	---M--	200	added ('OK')	image/jpeg	etag:%229385-64c379d869299%22	http://localhost/PROJET-SOCIETE/assets/img/ar5.jpeg	C:/My%20Web%20Sites/DDD/localhost/PROJET-SOCIETE/assets/img/ar5.jpg	(from http://localhost/PROJET-SOCIETE/pages/archives.php)
11:24:15	153390/153390	---M--	200	added ('OK')	image/jpeg	etag:%222572e-64c377cac019a%22	http://localhost/PROJET-SOCIETE/assets/img/ar2.jpeg	C:/My%20Web%20Sites/DDD/localhost/PROJET-SOCIETE/assets/img/ar2.jpg	(from http://localhost/PROJET-SOCIETE/pages/archives.php)
11:24:18	419758/419758	---M--	200	added ('OK')	image/jpeg	etag:%22667ae-64c389ec6dbc9%22	http://localhost/PROJET-SOCIETE/assets/img/e1.jpeg	C:/My%20Web%20Sites/DDD/localhost/PROJET-SOCIETE/assets/img/e1.jpg	(from http://localhost/PROJET-SOCIETE/pages/events.php)
11:24:25	58427/58427	---M--	200	added ('OK')	image/jpeg	etag:%22e43b-64c37a8349e64%22	http://localhost/PROJET-SOCIETE/assets/img/ar7.jpeg	C:/My%20Web%20Sites/DDD/localhost/PROJET-SOCIETE/assets/img/ar7.jpg	(from http://localhost/PROJET-SOCIETE/pages/archives.php)
11:24:34	126513/126513	---M--	200	added ('OK')	image/jpeg	etag:%221ee31-64c37a4f363e6%22	http://localhost/PROJET-SOCIETE/assets/img/ar6.jpeg	C:/My%20Web%20Sites/DDD/localhost/PROJET-SOCIETE/assets/img/ar6.jpg	(from http://localhost/PROJET-SOCIETE/pages/archives.php)
11:24:39	97199/97199	---M--	200	added ('OK')	image/png	etag:%2217baf-64c3b17a84aba%22	http://localhost/PROJET-SOCIETE/assets/img/C_lettre.png	C:/My%20Web%20Sites/DDD/localhost/PROJET-SOCIETE/assets/img/C_lettre.png	(from http://localhost/PROJET-SOCIETE/contact.php)
11:24:44	200015/200015	---M--	200	added ('OK')	image/jpeg	etag:%2230d4f-64c37ab760674%22	http://localhost/PROJET-SOCIETE/assets/img/ar8.jpeg	C:/My%20Web%20Sites/DDD/localhost/PROJET-SOCIETE/assets/img/ar8.jpg	(from http://localhost/PROJET-SOCIETE/pages/archives.php)
11:31:46	11420923/11420923	---M--	200	added ('OK')	image/png	etag:%22ae44fb-64c38b617ca14%22	http://localhost/PROJET-SOCIETE/assets/img/eventC.png	C:/My%20Web%20Sites/DDD/localhost/PROJET-SOCIETE/assets/img/eventC.png	(from http://localhost/PROJET-SOCIETE/pages/events.php)
